MgO,Pd,Pd/Pt,MSS Cu,Fluid Cu
0.167241672,0.002485257,0.121717624,0.999235789,5.29E-04
0.167247584,0.000822683,0.055373245,0.999922793,7.56E-05
0.167265264,0.470936102,0.368331981,0.970429,0.025850914
0.167274387,0.004696521,0.130503445,0.992815303,0.006919203
0.167296852,0.009087564,0.230209952,0.995607301,0.004254694
0.167299412,0.003298778,0.602784037,0.998262404,0.001742126
0.167303859,0.017052941,0.156911711,0.997717033,0.00203104
0.167307023,0.920092295,2.402794519,0.996823585,0.002698969
0.167318422,0.000916638,0.238807685,0.997678991,0.002338624
0.167341168,35.68142789,36.4263414,0,0.968276244
0.16734623,0.137948992,0.285704389,0.801050396,0.197721652
0.167346363,0.005982966,0.008324484,0.943961864,5.51E-02
0.167353357,0.082083246,0.079266556,0.960911689,0.03571471
0.167433188,8.839226101,5.612506436,0,0.958986131
0.167451622,0.001399852,0.033452827,0.999595115,0.000434548
0.167454226,0.002284958,0.135411016,0.998798702,0.001185543
0.16747099,73.49576745,15.00708699,0,0.921357146
0.16752772,0.002702678,0.024973634,0.992167089,0.007602791
0.167528694,24.38171902,15.7109017,0,0.976253779
0.167541941,28.11742958,44.74245444,0,0.981876602
0.167554189,0.00139417,0.054046357,0.992861946,0.007077458
0.167565494,71.70441946,24.74424873,0,0.893118835
0.167567498,39.21958995,19.97516199,0,0.983439186
0.167580304,0.000390158,0.045816884,0.998335715,0.0016511
0.167584789,13.11502086,39.76263525,0,0.667825593
0.167602946,0.000352202,0.016132263,0.999597769,0.000393686
0.167615252,0.369817957,0.501447122,0.968415644,0.029297869
0.167618809,0.000612851,0.295762494,0.999703302,0.000299567
0.167623781,0.032768827,0.041035379,0.942116167,0.056727255
0.167626947,0.400045361,1.934164075,0.977330127,0.022099587
0.167630912,1.201668616,2.058203878,0.994795909,0.004395537
0.167640217,45.39676896,17.98992444,0,0.982279212
0.167644837,0.018714738,0.485065114,0.981632183,0.018275719
0.167649045,1.12567687,3.824337558,0.961662511,0.037919398
0.167655468,0.000516587,0.182190011,0.998116125,0.001891919
0.167671662,0.000836876,0.002545292,0.998167838,0.001834889
0.167673535,0.002685425,0.387287152,0.997954767,0.00200454
0.167678326,0.000604967,0.059338036,0.999101047,0.000910787
0.167705626,1.033595362,1.392153889,0.993826793,0.005022824
0.167708751,0.001931448,0.021086057,0.999035666,0.000833394
0.167722905,0.006639908,0.036857381,0.969916103,0.028272882
0.167725387,0.006383413,0.089721716,0.987548952,0.012195858
0.1677295,23.40347235,7.194240874,0,0.738651631
0.167753599,0.001560217,0.019953602,0.995042532,0.004967212
0.167767305,0.001505803,0.006386773,0.997978722,0.001966486
0.167776557,0.251922417,0.256336145,0.972988791,0.026721409
0.167777542,35.38930062,7.412651738,0,0.299554018
0.167783193,0.001415952,0.159706339,0.999410661,0.000591615
0.167783358,32.21264245,38.51897539,0,0.980660186
0.167783673,69.67311848,27.9518131,0,0.952630227
0.167790282,0.018206397,0.363359604,0.997314991,0.00245748
0.167792398,0.001113817,0.274038516,0.997583823,0.002440785
0.167861133,48.31348266,14.2314464,0,0.978885711
0.167865114,0.06222659,0.170858952,0.862278818,0.135865844
0.167889198,0.00072514,0.094093298,0.999272562,0.000737864
0.167909531,0.157832726,0.195046382,0.994128904,0.004946164
0.167926691,0.001518915,0.262416808,0.999611019,0.000392957
0.167931204,0.053833297,0.275575954,0.979988076,0.017753732
0.16793648,0.21228446,0.397212436,0.987832631,0.01152415
0.167950187,0.006723113,0.113866147,0.998796865,0.000965548
0.167950765,0.492357821,1.384697448,0.901029694,0.096303834
0.167972207,0.16347409,0.584184697,0.94482383,0.05437911
0.167990053,2.136225299,2.388209357,0.993697215,0.004900516
0.16799815,0.064004995,0.190357649,0.932595762,6.67E-02
0.167999969,0.001377575,0.192579146,0.999415497,0.000572842
0.168007961,1.479950943,1.768133982,0.996431908,0.002601508
0.168015531,60.688634,71.31301113,0,0.981453462
0.168019717,0.004636815,0.025335242,0.996907305,0.002951446
0.168035036,0.000824522,0.040648829,0.996498109,3.53E-03
0.168036735,0.077528859,0.457219013,0.992148386,0.00750856
0.16804937,83.8340016,80.40455914,0,0.900689985
0.168062264,0.00152658,0.135852226,0.998550315,0.00144063
0.168066119,0.062581032,0.294194011,0.995375243,0.004316633
0.168068417,0.000735748,0.331938899,0.999951524,4.49E-05
0.168071545,0.004151348,0.173937691,0.995505417,0.004391025
0.168077197,0.004891922,0.101951117,0.998083901,0.001902726
0.168079615,1.122934708,2.711889613,0.980935995,0.018674579
0.168080845,0.011977136,0.063970878,0.994883451,5.04E-03
0.168082547,1.22399465,1.740598024,0.998056959,0.000757926
0.168090114,0.002402718,0.039531404,0.999324008,0.000703332
0.168101964,0.001011955,0.107944825,0.998721081,0.001295878
